instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,t_rank_norm,h_rank_norm,w_rank_norm,day_score,day_clustering
183,2011-07-02,3,0,7,0,6,0,1,0.74,0.67,0.44,0.12,2204,2915,5119,9.17,9.44,14.84,0.52,Good day
184,2011-07-03,3,0,7,0,0,0,2,0.72,0.67,0.68,0.23,2282,2367,4649,13.82,62.65,72.64,1.77,Good day
185,2011-07-04,3,0,7,1,1,0,2,0.73,0.67,0.64,0.08,3065,2978,6043,11.08,52.94,5.34,0.92,Good day
186,2011-07-05,3,0,7,0,2,1,1,0.75,0.7,0.59,0.13,1031,3634,4665,8.07,41.86,20.66,0.87,Good day
187,2011-07-06,3,0,7,0,3,1,1,0.72,0.69,0.74,0.15,784,3845,4629,13.0,78.93,33.65,1.52,Good day
188,2011-07-07,3,0,7,0,4,1,1,0.75,0.69,0.65,0.16,754,3838,4592,7.46,56.02,38.3,1.17,Good day
189,2011-07-08,3,0,7,0,5,1,2,0.71,0.67,0.76,0.23,692,3348,4040,15.8,81.87,70.79,2.0,Good day
190,2011-07-09,3,0,7,0,6,0,1,0.73,0.66,0.61,0.17,1988,3348,5336,9.71,45.55,43.09,1.18,Good day
191,2011-07-10,3,0,7,0,0,0,1,0.75,0.69,0.58,0.18,1743,3138,4881,7.8,38.37,51.44,1.13,Good day
192,2011-07-11,3,0,7,0,1,1,1,0.76,0.73,0.64,0.28,723,3363,4086,6.29,51.92,87.28,1.58,Good day
193,2011-07-12,3,0,7,0,2,1,1,0.79,0.74,0.56,0.2,662,3596,4258,2.33,33.65,59.78,1.0,Good day
194,2011-07-13,3,0,7,0,3,1,1,0.75,0.69,0.63,0.15,748,3594,4342,8.07,50.96,31.33,1.06,Good day
195,2011-07-14,3,0,7,0,4,1,1,0.68,0.64,0.48,0.24,888,4196,5084,21.0,13.95,78.39,1.55,Good day
196,2011-07-15,3,0,7,0,5,1,1,0.66,0.62,0.59,0.18,1318,4220,5538,23.53,42.27,50.89,1.64,Good day
197,2011-07-16,3,0,7,0,6,0,1,0.69,0.64,0.58,0.21,2418,3505,5923,19.97,39.95,63.2,1.63,Good day
198,2011-07-17,3,0,7,0,0,0,1,0.72,0.67,0.6,0.25,2006,3296,5302,13.2,45.01,79.48,1.64,Good day
199,2011-07-18,3,0,7,0,1,1,1,0.75,0.7,0.65,0.22,841,3617,4458,8.07,56.02,66.76,1.47,Good day
200,2011-07-19,3,0,7,0,2,1,1,0.78,0.75,0.65,0.13,752,3789,4541,3.9,55.75,22.64,0.9,Good day
201,2011-07-20,3,0,7,0,3,1,1,0.77,0.75,0.71,0.11,644,3688,4332,5.2,69.77,14.23,1.0,Good day
202,2011-07-21,3,0,7,0,4,1,2,0.82,0.83,0.69,0.22,632,3152,3784,1.64,65.66,69.08,1.4,Good day
203,2011-07-22,3,0,7,0,5,1,1,0.85,0.84,0.58,0.13,562,2825,3387,0.41,39.06,24.08,0.64,Good day
204,2011-07-23,3,0,7,0,6,0,1,0.85,0.8,0.5,0.13,987,2298,3285,0.27,20.11,22.91,0.44,Good day
205,2011-07-24,3,0,7,0,0,0,1,0.83,0.79,0.55,0.17,1050,2556,3606,0.82,32.08,44.32,0.79,Good day
206,2011-07-25,3,0,7,0,1,1,1,0.74,0.72,0.76,0.09,568,3272,3840,8.69,81.4,7.93,1.15,Good day
207,2011-07-26,3,0,7,0,2,1,1,0.77,0.7,0.54,0.2,750,3840,4590,4.72,29.75,59.99,1.04,Good day
208,2011-07-27,3,0,7,0,3,1,1,0.78,0.69,0.4,0.18,755,3901,4656,4.38,4.51,51.3,0.69,Good day
209,2011-07-28,3,0,7,0,4,1,1,0.78,0.74,0.58,0.18,606,3784,4390,3.56,39.74,48.84,0.99,Good day
210,2011-07-29,3,0,7,0,5,1,1,0.84,0.79,0.54,0.17,670,3176,3846,0.55,30.37,47.06,0.79,Good day
211,2011-07-30,3,0,7,0,6,0,1,0.8,0.73,0.47,0.17,1559,2916,4475,2.19,12.31,43.78,0.63,Good day
212,2011-07-31,3,0,7,0,0,0,1,0.81,0.73,0.48,0.16,1524,2778,4302,1.98,14.91,41.18,0.62,Good day
213,2011-08-01,3,0,8,0,1,1,1,0.77,0.7,0.55,0.16,729,3537,4266,4.72,32.08,37.21,0.83,Good day
214,2011-08-02,3,0,8,0,2,1,1,0.78,0.71,0.49,0.21,801,4044,4845,2.87,17.44,61.56,0.88,Good day
215,2011-08-03,3,0,8,0,3,1,2,0.73,0.68,0.66,0.14,467,3107,3574,10.12,57.87,25.99,1.14,Good day
216,2011-08-04,3,0,8,0,4,1,2,0.71,0.66,0.76,0.2,799,3777,4576,15.6,81.6,58.82,1.87,Good day
217,2011-08-05,3,0,8,0,5,1,1,0.71,0.66,0.63,0.18,1023,3843,4866,15.25,50.62,52.12,1.48,Good day
218,2011-08-06,3,0,8,0,6,0,2,0.72,0.68,0.76,0.23,1521,2773,4294,13.82,80.64,72.37,1.94,Good day
219,2011-08-07,3,0,8,0,0,0,1,0.74,0.72,0.75,0.2,1298,2487,3785,8.89,80.03,60.33,1.67,Good day
220,2011-08-08,3,0,8,0,1,1,1,0.76,0.7,0.59,0.19,846,3480,4326,5.68,42.48,56.98,1.16,Good day
221,2011-08-09,3,0,8,0,2,1,1,0.78,0.72,0.57,0.15,907,3695,4602,4.38,36.25,34.13,0.84,Good day
222,2011-08-10,3,0,8,0,3,1,1,0.77,0.68,0.42,0.2,884,3896,4780,5.34,7.11,59.99,0.83,Good day
223,2011-08-11,3,0,8,0,4,1,1,0.72,0.65,0.42,0.16,812,3980,4792,13.47,6.98,40.9,0.88,Good day
224,2011-08-12,3,0,8,0,5,1,1,0.71,0.65,0.42,0.13,1051,3854,4905,16.07,6.02,20.25,0.74,Good day
225,2011-08-13,3,0,8,0,6,0,2,0.69,0.65,0.73,0.21,1504,2646,4150,20.11,74.69,64.77,2.0,Good day
226,2011-08-14,3,0,8,0,0,0,2,0.68,0.62,0.82,0.22,1338,2482,3820,22.02,90.01,69.49,2.26,Good day
227,2011-08-15,3,0,8,0,1,1,1,0.67,0.62,0.71,0.21,775,3563,4338,23.19,70.86,63.41,2.04,Good day
228,2011-08-16,3,0,8,0,2,1,1,0.7,0.65,0.58,0.24,721,4004,4725,17.58,38.37,76.61,1.68,Good day
229,2011-08-17,3,0,8,0,3,1,1,0.72,0.67,0.58,0.14,668,4026,4694,11.97,37.35,30.23,1.03,Good day
230,2011-08-18,3,0,8,0,4,1,1,0.71,0.66,0.65,0.23,639,3166,3805,14.91,57.25,74.97,1.77,Good day
231,2011-08-19,3,0,8,0,5,1,2,0.68,0.63,0.72,0.14,797,3356,4153,20.31,73.6,27.77,1.62,Good day
232,2011-08-20,3,0,8,0,6,0,1,0.7,0.65,0.67,0.1,1914,3277,5191,18.13,61.29,11.49,1.27,Good day
233,2011-08-21,3,0,8,0,0,0,1,0.71,0.68,0.77,0.25,1249,2624,3873,15.25,83.99,80.3,2.1,Good day
234,2011-08-22,3,0,8,0,1,1,1,0.69,0.64,0.47,0.28,833,3925,4758,19.56,13.27,86.32,1.58,Good day
235,2011-08-23,3,0,8,0,2,1,1,0.64,0.61,0.46,0.15,1281,4614,5895,27.63,10.53,31.74,1.25,Good day
236,2011-08-24,3,0,8,0,3,1,1,0.67,0.63,0.6,0.25,949,4181,5130,22.3,45.28,81.53,1.94,Good day
237,2011-08-25,3,0,8,0,4,1,2,0.68,0.65,0.77,0.21,435,3107,3542,20.52,84.27,64.57,2.1,Good day
238,2011-08-26,3,0,8,0,5,1,1,0.7,0.66,0.76,0.08,768,3893,4661,17.78,82.49,6.7,1.43,Good day
239,2011-08-27,3,0,8,0,6,0,2,0.68,0.64,0.85,0.38,226,889,1115,21.41,93.84,97.95,2.56,Good day
240,2011-08-28,3,0,8,0,0,0,1,0.71,0.65,0.56,0.3,1415,2919,4334,16.55,34.06,91.38,1.75,Good day
241,2011-08-29,3,0,8,0,1,1,1,0.64,0.61,0.55,0.16,729,3905,4634,28.18,33.04,38.44,1.56,Good day
242,2011-08-30,3,0,8,0,2,1,1,0.64,0.59,0.55,0.13,775,4429,5204,27.84,31.6,19.84,1.35,Good day
243,2011-08-31,3,0,8,0,3,1,1,0.66,0.61,0.6,0.08,688,4370,5058,24.69,43.57,6.29,1.24,Good day
244,2011-09-01,3,0,9,0,4,1,1,0.66,0.61,0.64,0.14,783,4332,5115,25.24,53.21,29.07,1.58,Good day
245,2011-09-02,3,0,9,0,5,1,2,0.64,0.6,0.73,0.14,875,3852,4727,27.5,73.87,27.91,1.84,Good day
246,2011-09-03,3,0,9,0,6,0,1,0.67,0.63,0.72,0.19,1935,2549,4484,22.57,72.02,52.53,1.92,Good day
247,2011-09-04,3,0,9,0,0,0,1,0.71,0.67,0.74,0.21,2521,2419,4940,15.8,78.66,61.83,1.88,Good day
248,2011-09-05,3,0,9,1,1,0,2,0.67,0.63,0.79,0.21,1236,2115,3351,22.3,86.18,65.39,2.18,Good day
249,2011-09-06,3,0,9,0,2,1,3,0.54,0.52,0.89,0.34,204,2506,2710,44.12,96.58,95.21,3.24,Good day
250,2011-09-07,3,0,9,0,3,1,3,0.6,0.54,0.92,0.1,118,1878,1996,35.16,98.5,9.44,2.13,Good day
251,2011-09-08,3,0,9,0,4,1,3,0.63,0.56,0.94,0.19,153,1689,1842,29.55,99.32,57.18,2.45,Good day
252,2011-09-09,3,0,9,0,5,1,2,0.65,0.58,0.9,0.12,417,3127,3544,26.27,97.26,19.49,1.96,Good day
253,2011-09-10,3,0,9,0,6,0,1,0.66,0.61,0.75,0.15,1750,3595,5345,24.01,80.37,35.43,1.88,Good day
254,2011-09-11,3,0,9,0,0,0,1,0.65,0.61,0.71,0.12,1633,3413,5046,25.72,71.41,14.64,1.63,Good day
255,2011-09-12,3,0,9,0,1,1,1,0.64,0.6,0.69,0.09,690,4023,4713,27.36,65.8,7.25,1.55,Good day
256,2011-09-13,3,0,9,0,2,1,1,0.65,0.6,0.71,0.14,701,4062,4763,25.99,71.14,29.41,1.79,Good day
257,2011-09-14,3,0,9,0,3,1,1,0.67,0.63,0.7,0.17,647,4138,4785,22.3,67.58,42.54,1.77,Good day
258,2011-09-15,3,0,9,0,4,1,2,0.58,0.55,0.71,0.27,428,3231,3659,37.89,70.31,85.23,2.69,Good day
259,2011-09-16,3,0,9,0,5,1,2,0.47,0.46,0.59,0.16,742,4018,4760,53.42,41.86,40.63,2.43,Good day
260,2011-09-17,3,0,9,0,6,0,2,0.49,0.48,0.72,0.19,1434,3077,4511,50.75,72.5,55.4,2.8,Good day
261,2011-09-18,3,0,9,0,0,0,1,0.51,0.49,0.7,0.18,1353,2921,4274,48.97,66.89,48.97,2.63,Good day
262,2011-09-19,3,0,9,0,1,1,2,0.55,0.53,0.69,0.15,691,3848,4539,42.34,65.25,34.68,2.27,Good day
263,2011-09-20,3,0,9,0,2,1,2,0.56,0.53,0.88,0.13,438,3203,3641,40.49,96.03,25.44,2.43,Good day
264,2011-09-21,3,0,9,0,3,1,2,0.6,0.55,0.9,0.1,539,3813,4352,36.05,97.4,9.3,2.15,Good day
265,2011-09-22,3,0,9,0,4,1,2,0.63,0.55,0.9,0.13,555,4240,4795,30.44,97.54,21.48,2.1,Good day
266,2011-09-23,4,0,9,0,5,1,2,0.61,0.52,0.97,0.08,258,2137,2395,33.24,100.0,4.92,2.05,Good day
267,2011-09-24,4,0,9,0,6,0,2,0.61,0.56,0.86,0.08,1776,3647,5423,33.79,94.46,5.06,2.01,Good day
268,2011-09-25,4,0,9,0,0,0,2,0.63,0.57,0.84,0.05,1544,3466,5010,29.41,93.16,0.96,1.82,Good day
269,2011-09-26,4,0,9,0,1,1,2,0.65,0.59,0.85,0.11,684,3946,4630,26.74,93.57,13.0,1.87,Good day
270,2011-09-27,4,0,9,0,2,1,2,0.64,0.57,0.89,0.12,477,3643,4120,28.18,96.37,16.55,1.97,Good day
271,2011-09-28,4,0,9,0,3,1,2,0.64,0.58,0.85,0.15,480,3427,3907,29.0,93.71,32.97,2.14,Good day
272,2011-09-29,4,0,9,0,4,1,1,0.62,0.57,0.7,0.17,653,4186,4839,32.08,68.33,45.96,2.11,Good day
273,2011-09-30,4,0,9,0,5,1,1,0.56,0.54,0.65,0.21,830,4372,5202,39.6,54.99,62.11,2.36,Good day
274,2011-10-01,4,0,10,0,6,0,2,0.41,0.41,0.75,0.29,480,1949,2429,63.06,80.37,89.19,3.59,Normal day
275,2011-10-02,4,0,10,0,0,0,2,0.36,0.35,0.79,0.22,616,2302,2918,71.2,86.59,68.95,3.69,Normal day
276,2011-10-03,4,0,10,0,1,1,2,0.38,0.39,0.76,0.08,330,3240,3570,66.89,82.35,6.43,2.89,Good day
277,2011-10-04,4,0,10,0,2,1,1,0.48,0.47,0.71,0.21,486,3970,4456,51.64,70.59,61.7,2.87,Good day
278,2011-10-05,4,0,10,0,3,1,1,0.54,0.53,0.65,0.18,559,4267,4826,44.32,55.13,48.56,2.37,Good day
279,2011-10-06,4,0,10,0,4,1,1,0.49,0.48,0.62,0.13,639,4126,4765,50.55,48.43,25.44,2.26,Good day
280,2011-10-07,4,0,10,0,5,1,1,0.51,0.5,0.68,0.02,949,4036,4985,48.7,63.2,0.14,2.09,Good day
281,2011-10-08,4,0,10,0,6,0,1,0.52,0.51,0.7,0.05,2235,3174,5409,47.2,68.67,0.41,2.11,Good day
282,2011-10-09,4,0,10,0,0,0,1,0.54,0.52,0.73,0.06,2397,3114,5511,43.84,74.01,2.53,2.08,Good day
283,2011-10-10,4,0,10,1,1,0,1,0.57,0.54,0.73,0.04,1514,3603,5117,38.71,75.72,0.27,1.92,Good day
284,2011-10-11,4,0,10,0,2,1,2,0.57,0.55,0.81,0.14,667,3896,4563,39.12,88.65,30.1,2.36,Good day
285,2011-10-12,4,0,10,0,3,1,3,0.54,0.52,0.91,0.25,217,2199,2416,43.09,97.81,79.89,3.07,Good day
286,2011-10-13,4,0,10,0,4,1,2,0.59,0.55,0.9,0.14,290,2623,2913,36.66,97.13,28.86,2.36,Good day
287,2011-10-14,4,0,10,0,5,1,2,0.55,0.53,0.72,0.22,529,3115,3644,41.72,71.82,70.18,2.67,Good day
288,2011-10-15,4,0,10,0,6,0,1,0.51,0.5,0.48,0.26,1899,3318,5217,49.11,15.46,82.35,2.45,Good day
289,2011-10-16,4,0,10,0,0,0,1,0.51,0.5,0.49,0.28,1748,3293,5041,48.56,16.28,87.0,2.49,Good day
290,2011-10-17,4,0,10,0,1,1,1,0.53,0.51,0.58,0.18,713,3857,4570,44.87,38.65,47.61,2.21,Good day
291,2011-10-18,4,0,10,0,2,1,2,0.53,0.52,0.7,0.11,637,4111,4748,45.28,68.88,12.72,2.17,Good day
292,2011-10-19,4,0,10,0,3,1,3,0.54,0.51,0.9,0.24,254,2170,2424,43.5,96.99,78.93,3.06,Good day
293,2011-10-20,4,0,10,0,4,1,1,0.48,0.47,0.64,0.42,471,3724,4195,52.46,52.19,99.73,3.09,Good day
294,2011-10-21,4,0,10,0,5,1,1,0.43,0.42,0.57,0.22,676,3628,4304,60.05,37.14,68.4,2.86,Good day
295,2011-10-22,4,0,10,0,6,0,1,0.42,0.43,0.63,0.09,1499,2809,4308,60.94,50.34,8.48,2.42,Good day
296,2011-10-23,4,0,10,0,0,0,1,0.42,0.42,0.74,0.1,1619,2762,4381,61.15,78.11,9.99,2.72,Good day
297,2011-10-24,4,0,10,0,1,1,1,0.46,0.46,0.77,0.12,699,3488,4187,54.58,84.4,16.96,2.65,Good day
298,2011-10-25,4,0,10,0,2,1,1,0.47,0.46,0.62,0.17,695,3992,4687,53.08,49.11,41.86,2.5,Good day
299,2011-10-26,4,0,10,0,3,1,2,0.48,0.47,0.72,0.15,404,3490,3894,51.64,73.05,33.11,2.61,Good day
300,2011-10-27,4,0,10,0,4,1,2,0.47,0.46,0.81,0.2,240,2419,2659,53.21,89.47,58.96,3.08,Good day
301,2011-10-28,4,0,10,0,5,1,2,0.33,0.32,0.59,0.23,456,3291,3747,75.99,40.22,73.19,3.41,Good day
302,2011-10-29,4,0,10,0,6,0,3,0.25,0.23,0.88,0.35,57,570,627,90.9,96.17,96.58,4.65,Bad day
303,2011-10-30,4,0,10,0,0,0,1,0.32,0.32,0.62,0.18,885,2446,3331,78.8,49.45,48.22,3.34,Good day
304,2011-10-31,4,0,10,0,1,1,1,0.34,0.36,0.7,0.11,362,3307,3669,74.76,69.29,11.9,3.05,Good day
305,2011-11-01,4,0,11,0,2,1,1,0.4,0.4,0.68,0.14,410,3658,4068,64.3,63.06,25.85,2.82,Good day
306,2011-11-02,4,0,11,0,3,1,1,0.38,0.39,0.72,0.08,370,3816,4186,67.99,72.64,5.61,2.82,Good day
307,2011-11-03,4,0,11,0,4,1,1,0.41,0.41,0.7,0.14,318,3656,3974,63.41,69.08,26.4,2.86,Good day
308,2011-11-04,4,0,11,0,5,1,2,0.4,0.4,0.62,0.27,470,3576,4046,64.09,48.97,85.64,3.27,Good day
309,2011-11-05,4,0,11,0,6,0,1,0.33,0.32,0.52,0.19,1156,2770,3926,76.68,24.83,54.86,3.1,Good day
310,2011-11-06,4,0,11,0,0,0,1,0.35,0.36,0.73,0.09,952,2697,3649,72.44,76.13,8.28,3.02,Good day
311,2011-11-07,4,0,11,0,1,1,1,0.4,0.4,0.76,0.06,373,3662,4035,65.25,82.22,1.37,2.79,Good day
312,2011-11-08,4,0,11,0,2,1,1,0.41,0.41,0.72,0.07,376,3829,4205,63.41,73.19,3.42,2.67,Good day
313,2011-11-09,4,0,11,0,3,1,1,0.4,0.41,0.76,0.06,305,3804,4109,64.43,82.08,2.19,2.78,Good day
314,2011-11-10,4,0,11,0,4,1,2,0.38,0.37,0.81,0.19,190,2743,2933,67.72,89.6,55.06,3.48,Good day
315,2011-11-11,4,0,11,1,5,0,1,0.32,0.31,0.45,0.31,440,2928,3368,77.77,9.58,92.61,3.35,Good day
316,2011-11-12,4,0,11,0,6,0,1,0.36,0.36,0.55,0.21,1275,2792,4067,71.2,32.83,64.98,3.11,Good day
317,2011-11-13,4,0,11,0,0,0,1,0.44,0.43,0.46,0.28,1004,2713,3717,57.8,11.76,87.14,2.72,Good day
318,2011-11-14,4,0,11,0,1,1,1,0.53,0.52,0.59,0.31,595,3891,4486,45.96,40.56,91.79,2.7,Good day
319,2011-11-15,4,0,11,0,2,1,2,0.53,0.51,0.69,0.2,449,3746,4195,45.96,64.98,59.37,2.62,Good day
320,2011-11-16,4,0,11,0,3,1,3,0.46,0.45,0.93,0.14,145,1672,1817,56.02,99.18,26.68,2.94,Good day
321,2011-11-17,4,0,11,0,4,1,2,0.34,0.32,0.58,0.31,139,2914,3053,74.49,37.48,91.66,3.53,Normal day
322,2011-11-18,4,0,11,0,5,1,1,0.27,0.27,0.41,0.17,245,3147,3392,87.28,5.54,43.57,3.11,Good day
323,2011-11-19,4,0,11,0,6,0,1,0.33,0.32,0.5,0.22,943,2720,3663,76.4,20.52,70.38,3.2,Good day
324,2011-11-20,4,0,11,0,0,0,2,0.46,0.46,0.68,0.19,787,2733,3520,54.58,63.41,52.8,2.8,Good day
325,2011-11-21,4,0,11,0,1,1,3,0.45,0.45,0.91,0.14,220,2545,2765,56.77,98.08,27.09,2.95,Good day
326,2011-11-22,4,0,11,0,2,1,3,0.42,0.42,0.96,0.12,69,1538,1607,61.42,99.73,16.96,3.01,Good day
327,2011-11-23,4,0,11,0,3,1,2,0.44,0.43,0.76,0.34,112,2454,2566,57.8,81.87,94.12,3.49,Good day
328,2011-11-24,4,0,11,1,4,0,1,0.37,0.37,0.55,0.17,560,935,1495,69.02,31.81,42.68,2.82,Good day
329,2011-11-25,4,0,11,0,5,1,1,0.38,0.38,0.64,0.1,1095,1697,2792,68.6,54.1,9.71,2.7,Good day
330,2011-11-26,4,0,11,0,6,0,1,0.38,0.39,0.68,0.07,1249,1819,3068,68.4,62.52,3.28,2.71,Good day
331,2011-11-27,4,0,11,0,0,0,1,0.46,0.46,0.7,0.21,810,2261,3071,55.27,68.13,63.41,2.97,Good day
332,2011-11-28,4,0,11,0,1,1,1,0.5,0.49,0.74,0.14,253,3614,3867,49.52,78.8,29.55,2.57,Good day
333,2011-11-29,4,0,11,0,2,1,2,0.46,0.45,0.83,0.26,96,2818,2914,55.61,91.38,82.49,3.41,Good day
334,2011-11-30,4,0,11,0,3,1,1,0.32,0.31,0.61,0.27,188,3425,3613,77.43,46.44,85.36,3.64,Normal day
335,2011-12-01,4,0,12,0,4,1,1,0.31,0.31,0.52,0.22,182,3545,3727,80.71,25.92,67.92,3.36,Good day
336,2011-12-02,4,0,12,0,5,1,1,0.31,0.33,0.63,0.1,268,3672,3940,80.3,49.93,10.4,3.01,Good day
337,2011-12-03,4,0,12,0,6,0,1,0.3,0.31,0.61,0.1,706,2908,3614,81.94,46.1,9.17,3.01,Good day
338,2011-12-04,4,0,12,0,0,0,1,0.33,0.35,0.78,0.08,634,2851,3485,75.99,84.95,6.57,3.19,Good day
339,2011-12-05,4,0,12,0,1,1,2,0.39,0.39,0.83,0.06,233,3578,3811,66.42,90.97,2.33,2.93,Good day
340,2011-12-06,4,0,12,0,2,1,3,0.46,0.46,0.95,0.23,126,2468,2594,54.86,99.59,74.42,3.39,Good day
341,2011-12-07,4,0,12,0,3,1,3,0.41,0.4,0.97,0.27,50,655,705,63.06,99.86,84.06,3.73,Normal day
342,2011-12-08,4,0,12,0,4,1,1,0.27,0.26,0.58,0.24,150,3172,3322,88.65,38.85,78.11,3.83,Normal day
343,2011-12-09,4,0,12,0,5,1,1,0.29,0.32,0.7,0.08,261,3359,3620,84.06,67.03,5.75,3.25,Good day
344,2011-12-10,4,0,12,0,6,0,1,0.28,0.27,0.51,0.23,502,2688,3190,86.87,22.78,75.1,3.58,Normal day
345,2011-12-11,4,0,12,0,0,0,1,0.22,0.25,0.49,0.07,377,2366,2743,94.05,17.1,3.01,3.02,Good day
346,2011-12-12,4,0,12,0,1,1,1,0.24,0.27,0.67,0.06,143,3167,3310,92.27,60.47,2.53,3.4,Good day
347,2011-12-13,4,0,12,0,2,1,1,0.28,0.3,0.59,0.14,155,3368,3523,85.36,41.45,28.11,3.26,Good day
348,2011-12-14,4,0,12,0,3,1,2,0.32,0.34,0.66,0.06,178,3562,3740,79.34,58.69,1.92,2.99,Good day
349,2011-12-15,4,0,12,0,4,1,2,0.42,0.41,0.63,0.27,181,3528,3709,60.94,51.5,84.68,3.19,Good day
350,2011-12-16,4,0,12,0,5,1,2,0.38,0.36,0.5,0.26,178,3399,3577,68.6,20.25,82.9,3.09,Good day
351,2011-12-17,4,0,12,0,6,0,2,0.26,0.25,0.56,0.24,275,2464,2739,90.22,33.79,78.8,3.83,Normal day
352,2011-12-18,4,0,12,0,0,0,1,0.24,0.25,0.59,0.17,220,2211,2431,92.27,40.36,44.6,3.62,Normal day
353,2011-12-19,4,0,12,0,1,1,1,0.28,0.28,0.64,0.17,260,3143,3403,86.73,52.8,46.31,3.59,Normal day
354,2011-12-20,4,0,12,0,2,1,2,0.39,0.4,0.6,0.06,216,3534,3750,66.42,43.09,2.05,2.44,Good day
355,2011-12-21,1,0,12,0,3,1,2,0.43,0.43,0.86,0.22,107,2553,2660,59.92,94.12,68.54,3.42,Good day
356,2011-12-22,1,0,12,0,4,1,2,0.42,0.43,0.76,0.05,227,2841,3068,60.74,81.6,0.82,2.65,Good day
357,2011-12-23,1,0,12,0,5,1,1,0.37,0.38,0.69,0.27,163,2046,2209,69.02,64.09,85.91,3.57,Normal day
358,2011-12-24,1,0,12,0,6,0,1,0.3,0.3,0.54,0.19,155,856,1011,81.46,30.37,55.81,3.31,Good day
359,2011-12-25,1,0,12,0,0,0,1,0.27,0.28,0.68,0.16,303,451,754,87.0,62.38,36.39,3.6,Normal day
360,2011-12-26,1,0,12,1,1,0,1,0.32,0.32,0.51,0.24,430,887,1317,78.11,22.3,77.84,3.34,Good day
361,2011-12-27,1,0,12,0,2,1,2,0.32,0.33,0.76,0.19,103,1059,1162,77.43,82.97,54.58,3.7,Normal day
362,2011-12-28,1,0,12,0,3,1,1,0.3,0.28,0.5,0.29,255,2047,2302,82.08,21.07,89.47,3.57,Normal day
363,2011-12-29,1,0,12,0,4,1,1,0.25,0.26,0.57,0.12,254,2169,2423,91.52,37.14,17.37,3.29,Good day
364,2011-12-30,1,0,12,0,5,1,1,0.31,0.32,0.64,0.13,491,2508,2999,80.85,52.46,24.76,3.2,Good day
365,2011-12-31,1,0,12,0,6,0,1,0.41,0.41,0.62,0.22,665,1820,2485,63.06,47.33,67.72,3.04,Good day
